roll,pitch,koreksi_z
-15,-15,-39.2546
-15,-10,-31.6041
-15,-5,-24.1861
-15,0,-16.8808
-15,5,-9.5755
-15,10,-2.1575
-15,15,5.493
-10,-15,-33.4824
-10,-10,-25.8319
-10,-5,-18.4139
-10,0,-11.1086
-10,5,-3.8033
-10,10,3.6147
-10,15,11.2652
-5,-15,-27.8855
-5,-10,-20.2351
-5,-5,-12.8171
-5,0,-5.5118
-5,5,1.7935
-5,10,9.2115
-5,15,16.862
0,-15,-22.3738
0,-10,-14.7233
0,-5,-7.3053
0,0,0.0
0,5,7.3053
0,10,14.7233
0,15,22.3738
5,-15,-16.862
5,-10,-9.2115
5,-5,-1.7935
5,0,5.5118
5,5,12.8171
5,10,20.2351
5,15,27.8855
10,-15,-11.2652
10,-10,-3.6147
10,-5,3.8033
10,0,11.1086
10,5,18.4139
10,10,25.8319
10,15,33.4824
15,-15,-5.493
15,-10,2.1575
15,-5,9.5755
15,0,16.8808
15,5,24.1861
15,10,31.6041
15,15,39.2546
